Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,11/3/2014,324.467934,323.826186,333.539527,323.106623
BTC,11/4/2014,328.644408,324.424164,330.67161,320.9029
BTC,11/5/2014,337.921358,328.653046,342.38417,328.597125
BTC,11/6/2014,348.99286,337.921358,352.585895,336.23683
BTC,11/7/2014,341.459753,348.99286,351.651854,340.196145
BTC,11/8/2014,344.745289,341.459753,346.47556,340.357542
BTC,11/9/2014,357.239982,344.745289,357.986991,342.082083
BTC,11/10/2014,371.116917,371.116917,371.116917,371.116917
BTC,11/11/2014,366.664633,367.921363,370.800015,361.225098
BTC,11/12/2014,428.882925,366.789056,435.484664,366.598986
BTC,11/13/2014,418.944218,428.882925,468.713823,383.764767
BTC,11/14/2014,399.688315,418.944218,422.297117,382.169175
BTC,11/15/2014,374.983975,399.688315,407.412963,368.133405
BTC,11/16/2014,388.040069,374.857322,393.295524,372.237929
BTC,11/17/2014,387.062731,388.040069,411.552109,375.487332
BTC,11/18/2014,373.7797,387.062731,392.972246,369.617248
BTC,11/19/2014,378.013084,373.7797,385.80455,371.863001
BTC,11/20/2014,356.750538,378.013063,381.148133,353.317924
BTC,11/21/2014,350.599464,356.750538,357.129126,341.284223
BTC,11/22/2014,352.080105,350.599464,363.803681,349.766048
BTC,11/23/2014,366.424325,352.080105,370.461801,351.31908
BTC,11/24/2014,376.211826,366.424325,390.358125,364.34944
BTC,11/25/2014,376.917086,376.211826,396.13179,374.73555
BTC,11/26/2014,369.402421,376.897678,378.603301,365.870862
BTC,11/27/2014,369.807768,369.402421,374.855094,367.818806
BTC,11/28/2014,377.078294,369.846129,383.061414,357.341037
BTC,11/29/2014,375.964613,377.078294,387.98092,372.026742
BTC,11/30/2014,377.568288,375.923893,382.579901,373.53288
BTC,12/1/2014,380.535819,377.568288,383.685986,376.314114
BTC,12/2/2014,382.810282,380.535819,385.520189,378.076539
BTC,12/3/2014,376.230628,382.810282,385.174542,374.313126
BTC,12/4/2014,370.539639,376.230628,380.126885,365
BTC,12/5/2014,377.384886,370.539639,379.654716,366.368699
BTC,12/6/2014,375.097528,377.384886,380.366911,370.491168
BTC,12/7/2014,375.749288,375.097528,377.420104,373.315882
BTC,12/8/2014,361.12719,375.749288,376.951585,360.096361
BTC,12/9/2014,351.69696,361.12719,363.175169,342.916846
BTC,12/10/2014,345.204109,351.69696,352.439549,345.117096
BTC,12/11/2014,348.597076,345.207561,362.849673,336.425301
BTC,12/12/2014,352.235617,348.545071,355.261442,345.816542
BTC,12/13/2014,347.330577,352.199401,352.622458,345.168879
BTC,12/14/2014,353.053905,347.330577,355.721402,345.349998
BTC,12/15/2014,346.405127,353.072444,354.081754,345.709249
BTC,12/16/2014,326.892223,346.358292,347.082774,326.212522
BTC,12/17/2014,319.413206,326.892223,334.922957,315.024456
BTC,12/18/2014,311.661461,319.413206,324.940248,303.524033
BTC,12/19/2014,317.473697,311.661461,318.752869,305.985088
BTC,12/20/2014,329.231238,317.469511,329.681747,315.095473
BTC,12/21/2014,320.776026,329.231238,329.301037,317.766287
BTC,12/22/2014,332.252596,320.776026,334.129639,320.597648
BTC,12/23/2014,336.089348,332.252596,337.538014,328.103947
BTC,12/24/2014,322.967931,336.089348,336.183811,321.082457
BTC,12/25/2014,319.076918,322.967931,323.426773,316.807661
BTC,12/26/2014,327.553744,319.076918,331.934582,316.305915
BTC,12/27/2014,315.527375,327.553744,329.864459,312.072887
BTC,12/28/2014,317.127543,315.527375,318.384064,310.23126
BTC,12/29/2014,312.392628,317.127543,320.467551,311.652722
BTC,12/30/2014,310.527122,312.392628,314.559958,308.391839
BTC,12/31/2014,319.869214,310.527122,319.991337,309.154946
BTC,1/1/2015,313.357023,319.864301,320.01536,313.065067
BTC,1/2/2015,314.686935,313.357023,315.960178,312.363686
BTC,1/3/2015,278.265656,314.686921,315.398844,277.481307
BTC,1/4/2015,264.081407,278.034321,287.10907,255.879888
BTC,1/5/2015,272.849377,264.081407,279.219125,263.792788
BTC,1/6/2015,286.887056,272.849377,289.309993,271.213471
BTC,1/7/2015,294.815846,286.882079,302.827202,282.170514
BTC,1/8/2015,282.486577,294.815846,294.956081,282.125482
BTC,1/9/2015,289.279638,282.486577,295.524242,279.638157
BTC,1/10/2015,274.555827,289.279609,290.504787,271.618997
BTC,1/11/2015,265.591125,274.555827,280.400043,263.132613
BTC,1/12/2015,267.656222,265.591125,273.16163,264.79994
BTC,1/13/2015,223.729443,267.656222,268.435598,217.318288
BTC,1/14/2015,178.016008,223.74105,224.256025,169.146791
BTC,1/15/2015,209.304171,178.016008,229.768527,175.537223
BTC,1/16/2015,206.268039,209.304171,221.693794,197.685345
BTC,1/17/2015,199.864504,206.218906,211.673245,192.899714
BTC,1/18/2015,210.386211,199.892413,220.061755,193.64197
BTC,1/19/2015,214.001806,210.386211,217.125996,206.643484
BTC,1/20/2015,211.078456,213.99358,214.783897,203.974437
BTC,1/21/2015,227.33715,211.078456,228.695321,210.486709
BTC,1/22/2015,233.37991,227.33715,239.694445,225.461304
BTC,1/23/2015,231.856422,233.373353,234.369476,224.176082
BTC,1/24/2015,247.35793,231.856396,248.284094,228.298958
BTC,1/25/2015,253.469195,247.353729,255.878652,243.321479
BTC,1/26/2015,273.677356,253.497779,310.922502,253.233623
BTC,1/27/2015,263.666211,273.677349,276.713273,249.166211
BTC,1/28/2015,234.4223,263.666212,267.642428,226.011522
BTC,1/29/2015,232.626299,234.428747,239.196708,220.581576
BTC,1/30/2015,226.717513,232.626299,243.697685,224.788881
BTC,1/31/2015,215.876652,226.718532,233.746212,214.322101
BTC,2/1/2015,226.875133,215.876652,232.893447,211.051549
BTC,2/2/2015,238.588696,226.875133,243.108607,222.031346
BTC,2/3/2015,227.68914,238.588676,246.987984,223.207907
BTC,2/4/2015,227.351834,227.682647,230.725818,220.31969
BTC,2/5/2015,216.377484,227.345906,228.65129,213.372591
BTC,2/6/2015,222.743024,216.84732,225.812844,215.379629
BTC,2/7/2015,228.066991,222.743013,231.401111,222.718075
BTC,2/8/2015,223.397506,228.055601,230.454685,219.992698
BTC,2/9/2015,220.328613,223.397505,224.578292,215.827206
BTC,2/10/2015,220.413957,220.328613,222.475343,214.732903
BTC,2/11/2015,219.273532,220.413957,224.058989,217.910561
BTC,2/12/2015,221.963409,219.273532,222.324123,216.86735
BTC,2/13/2015,235.69191,221.963409,241.651934,220.689649
BTC,2/14/2015,257.016289,235.69191,260.729154,235.296186
BTC,2/15/2015,235.383443,257.016289,268.00176,227.573557
BTC,2/16/2015,233.443198,235.383443,241.078133,229.011014
BTC,2/17/2015,243.57167,233.460702,246.183591,231.553812
BTC,2/18/2015,236.165845,243.571674,244.709141,231.56491
BTC,2/19/2015,239.779293,236.208846,243.227288,235.127629
BTC,2/20/2015,244.050679,239.779293,248.11955,238.993057
BTC,2/21/2015,244.600396,244.050679,247.097425,242.638772
BTC,2/22/2015,236.170583,244.600396,247.282329,232.930306
BTC,2/23/2015,239.004844,236.136853,240.401804,232.392267
BTC,2/24/2015,239.073143,239.004845,240.341805,236.174937
BTC,2/25/2015,237.333674,239.073142,239.954794,234.880296
BTC,2/26/2015,236.695991,237.319745,237.705115,233.747042
BTC,2/27/2015,254.240418,236.69599,259.074292,236.227573
BTC,2/28/2015,255.365601,254.218534,255.714773,249.432596
BTC,3/1/2015,261.258163,255.300858,264.454472,244.554452
BTC,3/2/2015,276.146219,261.258163,278.09916,258.552376
BTC,3/3/2015,282.661248,276.185093,289.037703,267.42884
BTC,3/4/2015,273.239504,282.661245,285.212526,267.31069
BTC,3/5/2015,275.919972,273.239504,283.91609,262.593808
BTC,3/6/2015,272.988451,275.919972,278.262322,269.788707
BTC,3/7/2015,276.729114,272.988451,279.069864,270.119505
BTC,3/8/2015,275.28288,276.729114,278.60283,272.095826
BTC,3/9/2015,290.528592,275.28288,294.00038,274.760571
BTC,3/10/2015,292.310033,290.528592,303.415123,289.266669
BTC,3/11/2015,296.642571,292.310033,298.595814,290.934346
BTC,3/12/2015,295.330908,296.642571,297.98115,292.181818
BTC,3/13/2015,283.35882,295.330908,295.429451,283.11561
BTC,3/14/2015,282.462474,283.35882,287.301588,281.433484
BTC,3/15/2015,286.555122,282.454825,287.508426,281.664358
BTC,3/16/2015,291.095905,286.555145,294.656618,286.113313
BTC,3/17/2015,285.323639,291.095905,292.446303,282.827633
BTC,3/18/2015,256.811988,285.323639,285.323639,248.204226
